name,college,programmes,n_programmes,scopus_id,scopus_url,google_scholar_id
"Huda Yousef Mohammad Alsheyab, Ph.D",Engineering,none,0,57210170292,https://www.scopus.com/authid/detail.uri?authorId=57210170292,VlE6G1YAAAAJ
"Mohammad Okour, Ph.D",Engineering,none,0,,,
"Ayman Hussien Odeh, M.Sc",Engineering,Bachelor of Science in Software Engineering; Bachelor of Science in Computer Science,2,57198420445,https://www.scopus.com/authid/detail.uri?authorId=57198420445,OJ1AodEAAAAJ
"Musab Mustafa Hijazi, M.Sc",Engineering,Bachelor of Science in Software Engineering; Bachelor of Science in Computer Science,2,57222079373,https://www.scopus.com/authid/detail.uri?authorId=57222079373,TI5I1AYAAAAJ
Yazan Nawaf Al-Ahmed,Engineering,Bachelor of Science in Computer Science,1,58850551300,https://www.scopus.com/authid/detail.uri?authorId=58850551300,kIHpiFcAAAAJ
Esra'a Sami Ahmad Hijah,Engineering,Bachelor of Science in Civil Engineering,1,58517120800,https://www.scopus.com/authid/detail.uri?authorId=58517120800,5dx7h7sAAAAJ
Nura shifa musa,Engineering,none,0,58078101700,https://www.scopus.com/authid/detail.uri?authorId=58078101700,D8ehQDEAAAAJ
Huda Alheeh,Engineering,Bachelor of Science in Computer Engineering; Bachelor of Science in Networks and Communication Engineering,2,57929716900,https://www.scopus.com/authid/detail.uri?authorId=57929716900,
Sawsan AlAwad,Engineering,Bachelor of Science in Computer Engineering,1,,,
Tamer Saleh,Engineering,none,0,,,
Mhd Akram Nazar,Engineering,none,0,,,
Esra Jamil Hasan Al-Nashash,Engineering,Bachelor of Science in Software Engineering; Bachelor of Science in Computer Science,2,,,
Ayesha Siddique,Engineering,none,0,,,
Yara Rashwan,Engineering,none,0,,,
Yaman Sufian Albadawi,Engineering,none,0,,,
Fawzi Mohammed,Engineering,none,0,,,
Kenan Ismail Hassan,Engineering,none,0,,,
Dalia Rami Darweesh,Engineering,none,0,,,
Zaid Hadya,Engineering,none,0,,,
Nuha Hakim,Engineering,none,0,,,
Lina Nahil Chehayber,Engineering,none,0,,,
Shamma Husain Alblooshi,Engineering,none,0,,,
"Moustafa Kandeel, Ph.D",Law,Bachelor of Law; Master of Private Law,2,57219603105,https://www.scopus.com/authid/detail.uri?authorId=57219603105,EQEQGyUAAAAJ
"Ramzi Ahmad Madi, Ph.D",Law,Bachelor of Law; Master of Private Law,2,36008823000,https://www.scopus.com/authid/detail.uri?authorId=36008823000,Clq9wn8AAAAJ
"Ahmed Fekry Taha Moussa, Ph.D",Law,Bachelor of Law; Master of Public Law; Master of Criminal Science,3,57232817000,https://www.scopus.com/authid/detail.uri?authorId=57232817000,
"Ali Hadi Alwan Elobaidi, Ph.D",Law,Bachelor of Law; Master of Private Law,2,57226685678,https://www.scopus.com/authid/detail.uri?authorId=57226685678,GwL1ssUAAAAJ
"Tayil Mohmoud Sheyab, Ph.D",Law,Bachelor of Law; Master of Public Law; Master of Criminal Science,3,57217286955,https://www.scopus.com/authid/detail.uri?authorId=57217286955,FgatXWkAAAAJ
"Tariq Abdel Rahman Kameel, Ph.D",Law,Bachelor of Law; Master of Private Law,2,57212559077,https://www.scopus.com/authid/detail.uri?authorId=57212559077,-IHrIwQAAAAJ
"Ibrahim Suleiman Alqatawneh, Ph.D",Law,Bachelor of Law; Master of Public Law; Master of Criminal Science,3,57223391279,https://www.scopus.com/authid/detail.uri?authorId=57223391279,eRFGEMYAAAAJ
"Ziad kh. Alenizi, Ph.D",Law,Bachelor of Law; Master of Private Law,2,57210587518,https://www.scopus.com/authid/detail.uri?authorId=57210587518,rCnY57oAAAAJ
"Faisal Abdelhafez Shawabkeh, Ph.D",Law,Bachelor of Law; Master of Public Law,2,57215425146,https://www.scopus.com/authid/detail.uri?authorId=57215425146,TB_EBcsAAAAJ
"Fayez Mohammad Al Nusair, Ph.D",Law,Bachelor of Law; Master of Private Law,2,57891349600,https://www.scopus.com/authid/detail.uri?authorId=57891349600,0PFeN3EAAAAJ
"Suhaib Walid Sharaiyra, Ph.D",Law,Bachelor of Law; Master of Private Law,2,57208001697,https://www.scopus.com/authid/detail.uri?authorId=57208001697,mwNgf8YAAAAJ
"Abdullah Abdullatif, Ph.D",Law,Bachelor of Law,1,,,
Amal Aboeida,Law,none,0,,,
Wafa Al Zayyat,Law,none,0,,,
"Mohammad Ahmad Ghattas, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,36463516700,https://www.scopus.com/authid/detail.uri?authorId=36463516700,Lhpg7dsAAAAJ
"Mosab Arafat, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Pharmaceutical Sciences,2,56380109600,https://www.scopus.com/authid/detail.uri?authorId=56380109600,qHOjk0gAAAAJ
"Faris El-Dahiyat, Ph.D",Pharmacy,Bachelor of Science in Pharmacy; Master of Science in Clinical Pharmacy; Master of Science in Pharmaceutical Sciences,3,36005436900,https://www.scopus.com/authid/detail.uri?authorId=36005436900,VKxLTKoAAAAJ
